model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
davit_small.msft_in1k,224,84.266,15.734,96.93,3.07,49.75,0.95,bicubic
xcit_small_12_p8_224.fb_dist_in1k,224,84.25,15.75,96.874,3.126,26.21,1.0,bicubic
convnext_tiny.in12k_ft_in1k,224,84.192,15.808,97.132,2.868,28.59,0.95,bicubic
resnext101_32x16d.fb_wsl_ig1b_ft_in1k,224,84.164,15.836,97.188,2.812,194.03,0.875,bilinear
volo_d1_224.sail_in1k,224,84.152,15.848,96.774,3.226,26.63,0.96,bicubic
inception_next_base.sail_in1k,224,84.098,15.902,96.782,3.218,86.67,0.95,bicubic
caformer_s18.sail_in22k_ft_in1k,224,84.086,15.914,97.188,2.812,26.34,1.0,bicubic
convformer_s36.sail_in1k,224,84.072,15.928,96.756,3.244,40.01,1.0,bicubic
rexnetr_300.sw_in12k_ft_in1k,224,84.036,15.964,97.0,3.0,34.81,0.95,bicubic
swin_s3_base_224.ms_in1k,224,83.92,16.08,96.65,3.35,71.13,0.9,bicubic
gcvit_small.in1k,224,83.908,16.092,96.66,3.34,51.09,0.875,bicubic
convnextv2_tiny.fcmae_ft_in22k_in1k,224,83.904,16.096,96.964,3.036,28.64,0.875,bicubic
tresnet_v2_l.miil_in21k_ft_in1k,224,83.902,16.098,96.496,3.504,46.17,0.875,bilinear
seresnextaa101d_32x8d.ah_in1k,224,83.9,16.1,96.648,3.352,93.59,0.95,bicubic
hiera_small_224.mae_in1k_ft_in1k,224,83.886,16.114,96.68,3.32,35.01,0.9,bicubic
xcit_small_24_p16_224.fb_dist_in1k,224,83.878,16.122,96.734,3.266,47.67,1.0,bicubic
xcit_small_24_p8_224.fb_in1k,224,83.854,16.146,96.636,3.364,47.63,1.0,bicubic
convnext_base.fb_in1k,224,83.834,16.166,96.746,3.254,88.59,0.875,bicubic
focalnet_base_lrf.ms_in1k,224,83.828,16.172,96.614,3.386,88.75,0.9,bicubic
hgnet_small.ssld_in1k,224,83.81,16.19,96.868,3.132,24.36,0.965,bicubic
focalnet_base_srf.ms_in1k,224,83.808,16.192,96.66,3.34,88.15,0.9,bicubic
regnety_160.swag_lc_in1k,224,83.808,16.192,97.284,2.716,83.59,0.965,bicubic
deit3_base_patch16_224.fb_in1k,224,83.794,16.206,96.582,3.418,86.59,0.9,bicubic
swin_s3_small_224.ms_in1k,224,83.778,16.222,96.46,3.54,49.74,0.9,bicubic
pit_b_distilled_224.in1k,224,83.774,16.226,96.468,3.532,74.79,0.9,bicubic
